Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death
45801,US-Mexico Border,9-Apr-18,2018,Apr,1,,1,,,,,Unknown (skeletal remains)
44839,US-Mexico Border,6-Apr-18,2018,Apr,1,,1,,,,,Unknown (skeletal remains)
45732,US-Mexico Border,3-Apr-18,2018,Apr,1,,1,,,1,,Presumed drowning
45767,US-Mexico Border,3-Apr-18,2018,Apr,1,,1,,,1,,Presumed drowning
45800,US-Mexico Border,2-Apr-18,2018,Apr,1,,1,,,1,,Unknown
45799,US-Mexico Border,1-Apr-18,2018,Apr,1,,1,,,,,Unknown
45736,US-Mexico Border,29-Mar-18,2018,Mar,1,,1,,,,,Drowning
45766,US-Mexico Border,29-Mar-18,2018,Mar,1,,1,,,1,,Presumed drowning
44707,US-Mexico Border,28-Mar-18,2018,Mar,1,,1,,,1,,Unknown (skeletal remains)
45765,US-Mexico Border,28-Mar-18,2018,Mar,1,,1,,,1,,Presumed drowning
44704,US-Mexico Border,27-Mar-18,2018,Mar,1,,1,,,1,,Unknown (skeletal remains)
44706,US-Mexico Border,27-Mar-18,2018,Mar,1,,1,,1,,,Unknown (skeletal remains)
45764,US-Mexico Border,27-Mar-18,2018,Mar,1,,1,,,1,,Presumed drowning
44681,Central America,26-Mar-18,2018,Mar,1,,1,,,1,,"Hit by train, Train Accident"
44683,Central America,26-Mar-18,2018,Mar,2,3,5,4,1,1,1,Drowning
44695,Central America,26-Mar-18,2018,Mar,1,,1,,,1,,Fall from train
44679,US-Mexico Border,24-Mar-18,2018,Mar,1,,1,,1,,,Suicide
44703,US-Mexico Border,23-Mar-18,2018,Mar,1,,1,,,1,,Unknown (skeletal remains)
44678,US-Mexico Border,22-Mar-18,2018,Mar,1,,1,,,1,,Drowning
44702,US-Mexico Border,21-Mar-18,2018,Mar,1,,1,,1,,,Unknown (skeletal remains)
44701,US-Mexico Border,21-Mar-18,2018,Mar,1,,1,,,1,,Unknown (skeletal remains)
45798,US-Mexico Border,20-Mar-18,2018,Mar,1,,1,,1,,,Unknown
44712,US-Mexico Border,18-Mar-18,2018,Mar,1,,1,,,1,,Drowning
44677,US-Mexico Border,15-Mar-18,2018,Mar,1,,1,,,1,,Unknown
44663,Central America,14-Mar-18,2018,Mar,1,,1,,,1,,Hit by train
44662,US-Mexico Border,13-Mar-18,2018,Mar,1,,1,,,1,,Drowning
44700,US-Mexico Border,13-Mar-18,2018,Mar,1,,1,,,1,,Unknown (skeletal remains)
45763,US-Mexico Border,13-Mar-18,2018,Mar,1,,1,,,1,,Presumed drowning
44660,Central America,12-Mar-18,2018,Mar,1,,1,,,1,,Unknown
